codigo_unico,asunto,descripcion,tipo_tramite,prioridad_real
YAU-HIST-100050,Consulta / Copia: Queja por Servicios,Solicito información general sobre los planos catastrales de la zona de Pasadizo Ainara Doménech 5 Puerta 9 .,Queja por Servicios,Baja
YAU-HIST-100051,Trámite de Inspección Técnica de Seguridad (ITSE) - Efecto,Trámite regular para obtener la constancia de posesión del terreno denominado Urbanización Hortensia Menéndez 33 Apt. 03 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100052,Trámite de Inspección Técnica de Seguridad (ITSE) - Cuerpo,Queja por servicios debido a fallas intermitentes en el alumbrado público de Ronda de Soraya Ferreras 77.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100053,EMERGENCIA: Queja por Servicios por filtraciones severas de agua en las columnas,Reporto peligro de colapso en Via Melania Rodríguez 92 debido a filtraciones severas de agua en las columnas. Solicito inspección de inmediato.,Queja por Servicios,Urgente
YAU-HIST-100054,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por grietas profundas en los muros de carga,Denuncia de riesgo estructural crítico en Paseo Josep Carrión 82 Puerta 8  por grietas profundas en los muros de carga. Se teme daño físico a las personas.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-100055,Urgente: Solicitud de Constancia de Posesión por riesgo,Se presenta una situación de emergencia por debilitamiento de vigas por humedad extrema en Pasadizo de Teodosio Salmerón 87 Piso 3 . Existe un riesgo estructural inminente.,Constancia de Posesión,Alta
YAU-HIST-100056,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Se presenta una situación de emergencia por deslizamiento de tierra en el talud colindante en Urbanización de Leonardo Sabater 5 Apt. 45 . Existe un riesgo estructural inminente.,Licencia de Funcionamiento,Alta
YAU-HIST-100057,Trámite de Licencia de Funcionamiento - Español,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Vial Eutropio Guardia 42 Apt. 66 .,Licencia de Funcionamiento,Media
YAU-HIST-100058,Urgente: Solicitud de Queja por Servicios por riesgo,Reporto peligro de colapso en Calle de Hilario Rivera 19 Puerta 6  debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Queja por Servicios,Alta
YAU-HIST-100059,Trámite de Constancia de Posesión - Calidad,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Acceso Marc Porta 98 Puerta 3 .,Constancia de Posesión,Media
YAU-HIST-100060,Consulta / Copia: Queja por Servicios,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de queja por servicios.,Queja por Servicios,Baja
YAU-HIST-100061,Trámite de Licencia de Funcionamiento - Gobierno,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Vial de Esther Amores 19.,Licencia de Funcionamiento,Media
YAU-HIST-100062,Trámite de Queja por Servicios - Van,Trámite regular para obtener la constancia de posesión del terreno denominado Pasaje Germán Ayllón 66 Apt. 75 .,Queja por Servicios,Media
YAU-HIST-100063,Trámite de Licencia de Funcionamiento - Iglesia,Trámite regular para obtener la constancia de posesión del terreno denominado Ronda de José Antonio Bilbao 90 Apt. 53 .,Licencia de Funcionamiento,Media
YAU-HIST-100064,EMERGENCIA: Licencia de Funcionamiento por deslizamiento de tierra en el talud colindante,Se solicita apoyo de inmediato por deslizamiento de tierra en el talud colindante que amenaza la seguridad pública en Plaza Jose Miguel Flores 3.,Licencia de Funcionamiento,Urgente
YAU-HIST-100065,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Reporto peligro de colapso en Cuesta Haydée Carbó 537 debido a hundimiento del suelo en el patio principal. Solicito inspección de inmediato.,Licencia de Funcionamiento,Alta
YAU-HIST-100066,EMERGENCIA: Queja por Servicios por deslizamiento de tierra en el talud colindante,Reporto peligro de colapso en Via Mayte Céspedes 11 Piso 9  debido a deslizamiento de tierra en el talud colindante. Solicito inspección de inmediato.,Queja por Servicios,Urgente
YAU-HIST-100067,Urgente: Solicitud de Queja por Servicios por riesgo,Se presenta una situación de emergencia por cables eléctricos expuestos a la intemperie en Glorieta de Carlos Herrero 5 Puerta 9 . Existe un riesgo estructural inminente.,Queja por Servicios,Alta
YAU-HIST-100068,EMERGENCIA: Constancia de Posesión por hundimiento del suelo en el patio principal,Se solicita apoyo de inmediato por hundimiento del suelo en el patio principal que amenaza la seguridad pública en Acceso Berta Romero 91.,Constancia de Posesión,Urgente
YAU-HIST-100069,Consulta / Copia: Licencia de Funcionamiento,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de licencia de funcionamiento.,Licencia de Funcionamiento,Baja
YAU-HIST-100070,Trámite de Queja por Servicios - Producto,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Rambla de Macarena Vélez 99.,Queja por Servicios,Media
YAU-HIST-100071,Consulta / Copia: Queja por Servicios,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de queja por servicios.,Queja por Servicios,Baja
YAU-HIST-100072,Consulta / Copia: Licencia de Funcionamiento,Solicito duplicado del certificado de habitabilidad de la propiedad en Camino de Emilia Pinilla 80.,Licencia de Funcionamiento,Baja
YAU-HIST-100073,Trámite de Inspección Técnica de Seguridad (ITSE) - Habría,Trámite regular para obtener la constancia de posesión del terreno denominado Cuesta Ibán Pacheco 55 Puerta 4 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100074,Trámite de Constancia de Posesión - Río,Solicitud de licencia de edificación para ampliación de vivienda residencial en Avenida Jose Antonio Ramos 48.,Constancia de Posesión,Media
YAU-HIST-100075,Urgente: Solicitud de Licencia de Edificación por riesgo,Reporto peligro de colapso en Pasaje de Mónica Alemany 5 Apt. 63  debido a filtraciones severas de agua en las columnas. Solicito inspección de inmediato.,Licencia de Edificación,Alta
YAU-HIST-100076,Trámite de Constancia de Posesión - Alguna,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Cuesta de Carolina Núñez 68 Piso 7 .,Constancia de Posesión,Media
YAU-HIST-100077,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por cables eléctricos expuestos a la intemperie,Denuncia de riesgo estructural crítico en Urbanización de Dionisio Fernández 91 Puerta 2  por cables eléctricos expuestos a la intemperie. Se teme daño físico a las personas.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-100078,Consulta / Copia: Constancia de Posesión,Solicito información general sobre los planos catastrales de la zona de Cuesta Leonel Zamorano 441.,Constancia de Posesión,Baja
YAU-HIST-100079,Consulta / Copia: Licencia de Funcionamiento,Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Acceso Gastón Mate 9 Apt. 40 .,Licencia de Funcionamiento,Baja
YAU-HIST-100080,Trámite de Licencia de Funcionamiento - Energía,Trámite regular para obtener la constancia de posesión del terreno denominado Vial de Felicia Tudela 1.,Licencia de Funcionamiento,Media
YAU-HIST-100081,Trámite de Licencia de Edificación - Pese,Queja por servicios debido a fallas intermitentes en el alumbrado público de Cuesta de Valero Niño 50 Piso 1 .,Licencia de Edificación,Media
YAU-HIST-100082,Trámite de Licencia de Edificación - Durante,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Cuesta de Candelario Baeza 52.,Licencia de Edificación,Media
YAU-HIST-100083,EMERGENCIA: Constancia de Posesión por hundimiento del suelo en el patio principal,Se solicita apoyo de inmediato por hundimiento del suelo en el patio principal que amenaza la seguridad pública en Paseo María Cristina Rico 499.,Constancia de Posesión,Urgente
YAU-HIST-100084,Trámite de Constancia de Posesión - R,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Pasaje de Manuel Romeu 19 Puerta 1 .,Constancia de Posesión,Media
YAU-HIST-100085,Trámite de Licencia de Edificación - Fuerte,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Callejón Gertrudis Bertrán 33.,Licencia de Edificación,Media
YAU-HIST-100086,Urgente: Solicitud de Licencia de Edificación por riesgo,Reporto peligro de colapso en Plaza Sebastian Sanjuan 174 debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Licencia de Edificación,Alta
YAU-HIST-100087,Trámite de Inspección Técnica de Seguridad (ITSE) - Encuentran,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Cañada de Julia Santiago 4.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100088,Trámite de Licencia de Funcionamiento - Habla,Queja por servicios debido a fallas intermitentes en el alumbrado público de Ronda Darío Gomila 34 Apt. 02 .,Licencia de Funcionamiento,Media
YAU-HIST-100089,EMERGENCIA: Licencia de Funcionamiento por hundimiento del suelo en el patio principal,Reporto peligro de colapso en Pasaje de Edelmiro Solís 56 Puerta 8  debido a hundimiento del suelo en el patio principal. Solicito inspección de inmediato.,Licencia de Funcionamiento,Urgente
YAU-HIST-100090,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por filtraciones severas de agua en las columnas,Fuga de agua masiva y riesgo de corto circuito en Avenida de Elba Ariño 55 Apt. 13 . Requiero intervención urgente por peligro inminente.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-100091,Trámite de Licencia de Edificación - Visita,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Camino de Apolinar Díez 88.,Licencia de Edificación,Media
YAU-HIST-100092,Consulta / Copia: Queja por Servicios,Pedido de copias de actas de la junta vecinal de Camino Tristán Téllez 8 Piso 6  correspondientes al periodo anterior.,Queja por Servicios,Baja
YAU-HIST-100093,Consulta / Copia: Constancia de Posesión,Pedido de copias de actas de la junta vecinal de Via de Rosa Cuevas 86 Piso 6  correspondientes al periodo anterior.,Constancia de Posesión,Baja
YAU-HIST-100094,Trámite de Licencia de Funcionamiento - Tendrá,Queja por servicios debido a fallas intermitentes en el alumbrado público de Avenida de Maxi Iniesta 71.,Licencia de Funcionamiento,Media
YAU-HIST-100095,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Ronda de Baltasar Expósito 859.,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-100096,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por debilitamiento de vigas por humedad extrema,Se presenta una situación de emergencia por debilitamiento de vigas por humedad extrema en Glorieta Juanito Castro 87 Apt. 09 . Existe un riesgo estructural inminente.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-100097,Urgente: Solicitud de Constancia de Posesión por riesgo,Fuga de agua masiva y riesgo de corto circuito en Cañada Carmen Alcalá 461. Requiero intervención urgente por peligro inminente.,Constancia de Posesión,Alta
YAU-HIST-100098,Trámite de Licencia de Edificación - Participación,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Via de Flora Correa 94.,Licencia de Edificación,Media
YAU-HIST-100099,Trámite de Inspección Técnica de Seguridad (ITSE) - Solamente,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Cuesta de Agustina Hervás 38 Piso 3 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100100,EMERGENCIA: Licencia de Funcionamiento por deslizamiento de tierra en el talud colindante,Solicitud de inspección extraordinaria de seguridad en Callejón María Teresa Ribera 58 debido a grietas graves y amenaza de derrumbe.,Licencia de Funcionamiento,Urgente
YAU-HIST-100101,EMERGENCIA: Licencia de Funcionamiento por debilitamiento de vigas por humedad extrema,Reporto peligro de colapso en Cañada de Pilar Tovar 97 debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Licencia de Funcionamiento,Urgente
YAU-HIST-100102,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Solicitud de inspección extraordinaria de seguridad en Alameda de Carmina Pi 45 Puerta 3  debido a grietas graves y amenaza de derrumbe.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-100103,Trámite de Queja por Servicios - Universidad,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Ronda Armando Monreal 76 Puerta 2 .,Queja por Servicios,Media
YAU-HIST-100104,Consulta / Copia: Licencia de Funcionamiento,Pedido de copias de actas de la junta vecinal de Pasadizo Dominga Mármol 8 correspondientes al periodo anterior.,Licencia de Funcionamiento,Baja
YAU-HIST-100105,EMERGENCIA: Constancia de Posesión por hundimiento del suelo en el patio principal,Fuga de agua masiva y riesgo de corto circuito en Plaza de Lorenza Cobos 22. Requiero intervención urgente por peligro inminente.,Constancia de Posesión,Urgente
YAU-HIST-100106,EMERGENCIA: Constancia de Posesión por filtraciones severas de agua en las columnas,Reporto peligro de colapso en Alameda de Estrella Puga 6 Puerta 8  debido a filtraciones severas de agua en las columnas. Solicito inspección de inmediato.,Constancia de Posesión,Urgente
YAU-HIST-100107,Trámite de Inspección Técnica de Seguridad (ITSE) - Mundo,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Cuesta de Salud Araujo 513 Apt. 16 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100108,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Reporto peligro de colapso en Rambla de Joaquina Marí 1 debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-100109,Trámite de Licencia de Funcionamiento - Cine,Queja por servicios debido a fallas intermitentes en el alumbrado público de Cañada Plinio Perera 42 Puerta 6 .,Licencia de Funcionamiento,Media
YAU-HIST-100110,Consulta / Copia: Queja por Servicios,Pedido de copias de actas de la junta vecinal de Rambla Cayetano Piñeiro 337 correspondientes al periodo anterior.,Queja por Servicios,Baja
YAU-HIST-100111,Consulta / Copia: Licencia de Edificación,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de licencia de edificación.,Licencia de Edificación,Baja
YAU-HIST-100112,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Fuga de agua masiva y riesgo de corto circuito en Avenida Vasco Ojeda 546 Piso 4 . Requiero intervención urgente por peligro inminente.,Licencia de Funcionamiento,Alta
YAU-HIST-100113,Urgente: Solicitud de Licencia de Edificación por riesgo,Se solicita apoyo de inmediato por filtraciones severas de agua en las columnas que amenaza la seguridad pública en Cuesta de Custodio Gálvez 69.,Licencia de Edificación,Alta
YAU-HIST-100114,Consulta / Copia: Queja por Servicios,Consulta sobre el estado actual de mi trámite administrativo Nro. EXP-4644 presentado anteriormente.,Queja por Servicios,Baja
YAU-HIST-100115,Consulta / Copia: Licencia de Edificación,Consulta sobre el estado actual de mi trámite administrativo Nro. EXP-6728 presentado anteriormente.,Licencia de Edificación,Baja
YAU-HIST-100116,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Realizo una consulta simple para solicitar información sobre los requisitos del trámite de inspección técnica de seguridad (itse).,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-100117,Trámite de Licencia de Funcionamiento - Muerte,Solicitud de licencia de edificación para ampliación de vivienda residencial en Vial Miriam Paz 384.,Licencia de Funcionamiento,Media
YAU-HIST-100118,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Se presenta una situación de emergencia por deslizamiento de tierra en el talud colindante en Alameda de Nilda Cardona 31 Apt. 68 . Existe un riesgo estructural inminente.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-100119,Trámite de Inspección Técnica de Seguridad (ITSE) - Favor,Solicitud de licencia de edificación para ampliación de vivienda residencial en C. Alberto Lamas 617 Puerta 4 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100120,Urgente: Solicitud de Constancia de Posesión por riesgo,Se presenta una situación de emergencia por filtraciones severas de agua en las columnas en Via de Imelda Guillen 90 Piso 9 . Existe un riesgo estructural inminente.,Constancia de Posesión,Alta
YAU-HIST-100121,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Fuga de agua masiva y riesgo de corto circuito en Pasaje Virginia Matas 31. Requiero intervención urgente por peligro inminente.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-100122,Trámite de Licencia de Funcionamiento - Armas,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Cañada América Carmona 4.,Licencia de Funcionamiento,Media
YAU-HIST-100123,Trámite de Inspección Técnica de Seguridad (ITSE) - Salida,Queja por servicios debido a fallas intermitentes en el alumbrado público de Pasaje de Raimundo Rius 226.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100124,Trámite de Licencia de Funcionamiento - Enfermedad,Queja por servicios debido a fallas intermitentes en el alumbrado público de Callejón de Anacleto Pellicer 87 Apt. 51 .,Licencia de Funcionamiento,Media
YAU-HIST-100125,Urgente: Solicitud de Licencia de Edificación por riesgo,Se solicita apoyo de inmediato por cables eléctricos expuestos a la intemperie que amenaza la seguridad pública en Calle de Rómulo Llorente 81 Apt. 39 .,Licencia de Edificación,Alta
YAU-HIST-100126,Trámite de Licencia de Funcionamiento - Grandes,Queja por servicios debido a fallas intermitentes en el alumbrado público de Alameda Jose Francisco Casas 931.,Licencia de Funcionamiento,Media
YAU-HIST-100127,Trámite de Licencia de Edificación - España,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Alameda María Ángeles Coloma 304.,Licencia de Edificación,Media
